timestamp,temp,humidity
2024-11-06 20:45:01, ['23.39', '59.00']
2024-11-06 20:46:01, ['23.39', '59.00']
2024-11-06 20:47:01, ['23.39', '59.00']
2024-11-06 20:48:01, ['23.39', '59.00']
2024-11-06 20:49:03, ['23.39', '59.00']
"2024-11-06 20:51:47, ['23.08', '60.00']"
"2024-11-06 20:51:47, ['23.08', '60.00']","2024-11-06 20:51:52, ['23.08', '60.00']","2024-11-06 20:51:57, ['23.08', '60.00']","2024-11-06 20:52:02, ['23.08', '60.00']"
"2024-11-06 20:51:47, ['23.08', '60.00']","2024-11-06 20:51:52, ['23.08', '60.00']","2024-11-06 20:51:57, ['23.08', '60.00']","2024-11-06 20:52:02, ['23.08', '60.00']","2024-11-06 20:52:07, ['23.08', '60.00']","2024-11-06 20:52:12, ['23.08', '60.00']","2024-11-06 20:52:18, ['23.08', '60.00']","2024-11-06 20:52:22, ['22.58', '60.00']","2024-11-06 20:52:27, ['23.08', '60.00']","2024-11-06 20:52:32, ['23.08', '60.00']","2024-11-06 20:52:37, ['23.08', '60.00']","2024-11-06 20:52:42, ['22.52', '60.00']","2024-11-06 20:52:47, ['23.00', '60.00']","2024-11-06 20:52:52, ['23.05', '60.00']","2024-11-06 20:52:57, ['23.02', '61.00']","2024-11-06 20:53:02, ['22.82', '60.00']"
"2024-11-06 20:51:47, ['23.08', '60.00']","2024-11-06 20:51:52, ['23.08', '60.00']","2024-11-06 20:51:57, ['23.08', '60.00']","2024-11-06 20:52:02, ['23.08', '60.00']","2024-11-06 20:52:07, ['23.08', '60.00']","2024-11-06 20:52:12, ['23.08', '60.00']","2024-11-06 20:52:18, ['23.08', '60.00']","2024-11-06 20:52:22, ['22.58', '60.00']","2024-11-06 20:52:27, ['23.08', '60.00']","2024-11-06 20:52:32, ['23.08', '60.00']","2024-11-06 20:52:37, ['23.08', '60.00']","2024-11-06 20:52:42, ['22.52', '60.00']","2024-11-06 20:52:47, ['23.00', '60.00']","2024-11-06 20:52:52, ['23.05', '60.00']","2024-11-06 20:52:57, ['23.02', '61.00']","2024-11-06 20:53:02, ['22.82', '60.00']","2024-11-06 20:53:07, ['22.30', '61.00']","2024-11-06 20:53:12, ['22.35', '60.00']","2024-11-06 20:53:18, ['22.94', '60.00']","2024-11-06 20:53:23, ['23.03', '60.00']","2024-11-06 20:53:28, ['22.44', '60.00']","2024-11-06 20:53:33, ['22.96', '60.00']","2024-11-06 20:53:37, ['22.53', '60.00']","2024-11-06 20:53:42, ['23.08', '60.00']","2024-11-06 20:53:47, ['23.05', '60.00']","2024-11-06 20:53:52, ['23.06', '60.00']","2024-11-06 20:53:57, ['22.58', '61.00']","2024-11-06 20:54:02, ['23.08', '60.00']"
"2024-11-06 20:51:47, ['23.08', '60.00']","2024-11-06 20:51:52, ['23.08', '60.00']","2024-11-06 20:51:57, ['23.08', '60.00']","2024-11-06 20:52:02, ['23.08', '60.00']","2024-11-06 20:52:07, ['23.08', '60.00']","2024-11-06 20:52:12, ['23.08', '60.00']","2024-11-06 20:52:18, ['23.08', '60.00']","2024-11-06 20:52:22, ['22.58', '60.00']","2024-11-06 20:52:27, ['23.08', '60.00']","2024-11-06 20:52:32, ['23.08', '60.00']","2024-11-06 20:52:37, ['23.08', '60.00']","2024-11-06 20:52:42, ['22.52', '60.00']","2024-11-06 20:52:47, ['23.00', '60.00']","2024-11-06 20:52:52, ['23.05', '60.00']","2024-11-06 20:52:57, ['23.02', '61.00']","2024-11-06 20:53:02, ['22.82', '60.00']","2024-11-06 20:53:07, ['22.30', '61.00']","2024-11-06 20:53:12, ['22.35', '60.00']","2024-11-06 20:53:18, ['22.94', '60.00']","2024-11-06 20:53:23, ['23.03', '60.00']","2024-11-06 20:53:28, ['22.44', '60.00']","2024-11-06 20:53:33, ['22.96', '60.00']","2024-11-06 20:53:37, ['22.53', '60.00']","2024-11-06 20:53:42, ['23.08', '60.00']","2024-11-06 20:53:47, ['23.05', '60.00']","2024-11-06 20:53:52, ['23.06', '60.00']","2024-11-06 20:53:57, ['22.58', '61.00']","2024-11-06 20:54:02, ['23.08', '60.00']","2024-11-06 20:54:07, ['23.08', '60.00']","2024-11-06 20:54:12, ['22.58', '61.00']","2024-11-06 20:54:17, ['23.08', '61.00']","2024-11-06 20:54:22, ['23.08', '61.00']","2024-11-06 20:54:27, ['23.08', '61.00']","2024-11-06 20:54:32, ['23.08', '61.00']","2024-11-06 20:54:37, ['23.08', '61.00']","2024-11-06 20:54:42, ['23.08', '61.00']","2024-11-06 20:54:47, ['23.08', '61.00']","2024-11-06 20:54:52, ['23.08', '61.00']","2024-11-06 20:54:57, ['23.08', '61.00']","2024-11-06 20:55:02, ['23.08', '60.00']"
"2024-11-06 20:51:47, ['23.08', '60.00']","2024-11-06 20:51:52, ['23.08', '60.00']","2024-11-06 20:51:57, ['23.08', '60.00']","2024-11-06 20:52:02, ['23.08', '60.00']","2024-11-06 20:52:07, ['23.08', '60.00']","2024-11-06 20:52:12, ['23.08', '60.00']","2024-11-06 20:52:18, ['23.08', '60.00']","2024-11-06 20:52:22, ['22.58', '60.00']","2024-11-06 20:52:27, ['23.08', '60.00']","2024-11-06 20:52:32, ['23.08', '60.00']","2024-11-06 20:52:37, ['23.08', '60.00']","2024-11-06 20:52:42, ['22.52', '60.00']","2024-11-06 20:52:47, ['23.00', '60.00']","2024-11-06 20:52:52, ['23.05', '60.00']","2024-11-06 20:52:57, ['23.02', '61.00']","2024-11-06 20:53:02, ['22.82', '60.00']","2024-11-06 20:53:07, ['22.30', '61.00']","2024-11-06 20:53:12, ['22.35', '60.00']","2024-11-06 20:53:18, ['22.94', '60.00']","2024-11-06 20:53:23, ['23.03', '60.00']","2024-11-06 20:53:28, ['22.44', '60.00']","2024-11-06 20:53:33, ['22.96', '60.00']","2024-11-06 20:53:37, ['22.53', '60.00']","2024-11-06 20:53:42, ['23.08', '60.00']","2024-11-06 20:53:47, ['23.05', '60.00']","2024-11-06 20:53:52, ['23.06', '60.00']","2024-11-06 20:53:57, ['22.58', '61.00']","2024-11-06 20:54:02, ['23.08', '60.00']","2024-11-06 20:54:07, ['23.08', '60.00']","2024-11-06 20:54:12, ['22.58', '61.00']","2024-11-06 20:54:17, ['23.08', '61.00']","2024-11-06 20:54:22, ['23.08', '61.00']","2024-11-06 20:54:27, ['23.08', '61.00']","2024-11-06 20:54:32, ['23.08', '61.00']","2024-11-06 20:54:37, ['23.08', '61.00']","2024-11-06 20:54:42, ['23.08', '61.00']","2024-11-06 20:54:47, ['23.08', '61.00']","2024-11-06 20:54:52, ['23.08', '61.00']","2024-11-06 20:54:57, ['23.08', '61.00']","2024-11-06 20:55:02, ['23.08', '60.00']","2024-11-06 20:55:07, ['23.08', '61.00']","2024-11-06 20:55:12, ['23.08', '61.00']","2024-11-06 20:55:17, ['23.08', '60.00']","2024-11-06 20:55:22, ['23.08', '60.00']","2024-11-06 20:55:27, ['23.10', '60.00']","2024-11-06 20:55:32, ['23.11', '60.00']","2024-11-06 20:55:37, ['23.11', '60.00']","2024-11-06 20:55:42, ['23.10', '60.00']","2024-11-06 20:55:47, ['23.08', '61.00']","2024-11-06 20:55:52, ['23.08', '60.00']","2024-11-06 20:55:57, ['23.11', '60.00']","2024-11-06 20:56:02, ['23.10', '60.00']"
"2024-11-06 20:51:47, ['23.08', '60.00']","2024-11-06 20:51:52, ['23.08', '60.00']","2024-11-06 20:51:57, ['23.08', '60.00']","2024-11-06 20:52:02, ['23.08', '60.00']","2024-11-06 20:52:07, ['23.08', '60.00']","2024-11-06 20:52:12, ['23.08', '60.00']","2024-11-06 20:52:18, ['23.08', '60.00']","2024-11-06 20:52:22, ['22.58', '60.00']","2024-11-06 20:52:27, ['23.08', '60.00']","2024-11-06 20:52:32, ['23.08', '60.00']","2024-11-06 20:52:37, ['23.08', '60.00']","2024-11-06 20:52:42, ['22.52', '60.00']","2024-11-06 20:52:47, ['23.00', '60.00']","2024-11-06 20:52:52, ['23.05', '60.00']","2024-11-06 20:52:57, ['23.02', '61.00']","2024-11-06 20:53:02, ['22.82', '60.00']","2024-11-06 20:53:07, ['22.30', '61.00']","2024-11-06 20:53:12, ['22.35', '60.00']","2024-11-06 20:53:18, ['22.94', '60.00']","2024-11-06 20:53:23, ['23.03', '60.00']","2024-11-06 20:53:28, ['22.44', '60.00']","2024-11-06 20:53:33, ['22.96', '60.00']","2024-11-06 20:53:37, ['22.53', '60.00']","2024-11-06 20:53:42, ['23.08', '60.00']","2024-11-06 20:53:47, ['23.05', '60.00']","2024-11-06 20:53:52, ['23.06', '60.00']","2024-11-06 20:53:57, ['22.58', '61.00']","2024-11-06 20:54:02, ['23.08', '60.00']","2024-11-06 20:54:07, ['23.08', '60.00']","2024-11-06 20:54:12, ['22.58', '61.00']","2024-11-06 20:54:17, ['23.08', '61.00']","2024-11-06 20:54:22, ['23.08', '61.00']","2024-11-06 20:54:27, ['23.08', '61.00']","2024-11-06 20:54:32, ['23.08', '61.00']","2024-11-06 20:54:37, ['23.08', '61.00']","2024-11-06 20:54:42, ['23.08', '61.00']","2024-11-06 20:54:47, ['23.08', '61.00']","2024-11-06 20:54:52, ['23.08', '61.00']","2024-11-06 20:54:57, ['23.08', '61.00']","2024-11-06 20:55:02, ['23.08', '60.00']","2024-11-06 20:55:07, ['23.08', '61.00']","2024-11-06 20:55:12, ['23.08', '61.00']","2024-11-06 20:55:17, ['23.08', '60.00']","2024-11-06 20:55:22, ['23.08', '60.00']","2024-11-06 20:55:27, ['23.10', '60.00']","2024-11-06 20:55:32, ['23.11', '60.00']","2024-11-06 20:55:37, ['23.11', '60.00']","2024-11-06 20:55:42, ['23.10', '60.00']","2024-11-06 20:55:47, ['23.08', '61.00']","2024-11-06 20:55:52, ['23.08', '60.00']","2024-11-06 20:55:57, ['23.11', '60.00']","2024-11-06 20:56:02, ['23.10', '60.00']","2024-11-06 20:56:07, ['23.08', '60.00']","2024-11-06 20:56:12, ['23.08', '61.00']","2024-11-06 20:56:17, ['23.10', '61.00']","2024-11-06 20:56:22, ['23.10', '61.00']","2024-11-06 20:56:27, ['23.08', '61.00']","2024-11-06 20:56:32, ['23.08', '61.00']","2024-11-06 20:56:37, ['23.10', '61.00']","2024-11-06 20:56:42, ['23.08', '61.00']","2024-11-06 20:56:47, ['23.13', '61.00']","2024-11-06 20:56:52, ['23.14', '61.00']","2024-11-06 20:56:57, ['23.10', '61.00']","2024-11-06 20:57:02, ['23.34', '61.00']"
"2024-11-06 20:57:54, ['23.33', '61.00']"
